"GP","Level1","Level2","Organ","Signature_Genes_Pos","Signature_Genes_Neg"
"K1","","CD8.K; CD4.X; CD4.Y; CD4.P; Treg.P; gdT.B; gdT.C; gdT.D; gdT.P; CD8aa.C; CD8aa.D; CD8aa.E; CD8aa.P; DN.P; DP.wY; DP.wP","","CT010467.1; Tmsb4x; Actb; Tmsb10; Eef1a1",""
"K2","","CD8.wM; CD4.wM; Treg.wM; gdT.E; gdT.wM; CD8aa.wM; Tz.wM; DN.wM; DP.wC; DP.wM","","Arhgap15; Dock2; Mbnl1; Inpp4b; Foxp1","Tmsb10; Tmsb4x; Fau; Pfn1; Ppia"
"K3","","gdT.A; gdT.B; gdT.C; gdT.D; gdT.E; gdT.F; gdT.Z; gdT.P; CD8aa.C; CD8aa.D; CD8aa.E; DP.wY","small intestine epi","Gzma; Cd7; Ccl5; Fcer1g; Tyrobp","Tmsb10; Tpt1; CT010467.1; Actb; Tmsb4x"
"K4","","CD4.wN","","Tmsb10; Fau; CT010467.1; Pfn1; Ppia","Dock2; Rack1; Arhgap15; Myh9; Ptprc"
"K5","","CD8.K; CD8.P; CD4.P; Treg.P; gdT.P; CD8aa.P; Tz.P; DN.P; DP.wP","","H2ac8; H1f5; H1f4; H4c4; Hist1h2ap",""
"K6","","CD8.K; CD4.T; CD4.U; CD4.X; CD4.Y; CD4.P; Treg.D; Treg.E; Treg.P; gdT.Q; gdT.R; gdT.S; gdT.T; gdT.U; gdT.V; gdT.X; gdT.Z; Tz.D","skin","S100a6; Gzmb; Lgals1; Vim; Crip1","Tmsb10; CT010467.1; Eef1a1; Cmss1; Cdk8"
"K7","","gdT.Z; DP.wG","","CT010467.1; Ccl5; Cmss1; Cdk8; Crip1","Igfbp4; Ccr7; Limd2"
"K8","","gdT.X; gdT.Z","skin; CNS","Fth1; S100a6; Thy1; Ctla2a; Gem","Ccl5; Gzma; Gzmb; AW112010; Tyrobp"
"K9","","CD8.wU; CD8.wV; DP.wC; DP.wE","","Cdk8; Cmss1; CT010467.1; Eef2; Myh9","Tmsb10; Fau; Tmsb4x; Cd52"
"K10","","CD8.H; CD8.I; CD8.K; CD8.wY; CD4.S; DN.F","","Ccl5; Gzma; Lgals1; Nkg7; Ly6c2",""
"K11","","CD4.X","lung; placenta; kidney","Vps37b; Gramd3; Dusp10; Junb; Ccr7","Cd52; Ltb; Ptprcap"
"K12","","CD8.C; CD8.wX; CD4.E; CD4.G; CD4.H; CD4.I; Treg.B; Tz.C; DN.A; DN.G","","Izumo1r; Cdk8; Tox; Tbc1d4; Pdcd1","Crip1; Ccl5; Satb1; Igfbp4; Selplg"
"K13","","CD4.Y; gdT.Q; gdT.R; gdT.S; gdT.T; gdT.U; gdT.V; Tz.D","","Tmem176b; Tmem176a; Il7r; CT010467.1; Cd163l1","Ms4a4b; Inpp4b; Ctla4; Ifi27l2a; Cd2"
"K14","","DP.wF; DP.wG","","Cd8b1; Cd8a; Satb1; Rag1; Themis","H2-K1; Crip1; H2-D1; B2m; Eef1a1"
"K15","","CD8.D; CD8.F; CD4.F; Treg.C; gdT.X; DN.G; DN.H; DP.wH","","Eif5a; Npm1; Hsp90ab1; Ncl; Mif","Malat1; Tmsb4x; Itm2b; Cd52; Ypel3"
"K16","","CD8.F; CD8.wY; CD4.D; DN.I; DN.J","","Ifi27l2a; Isg15; Ly6a; Bst2; Stat1",""
"K17","","","CNS","Ifi27l2a; Atp5e; Tmsb4x; Ripor2; Lef1","Actg1; Ubb; Hspa8; Eef1a1; Il31ra"
"K18","","","","Cpa3; CT010467.1; Crip1; Ccl5; Tmsb10","Ifi27l2a; Ccr7; Ly6d; Rgcc"
"K19","","","","Prl8a9; Tpbpa; Psg21; Prl3b1; Creg1","Cts6; Ccr10"
"K20","","CD8.K","","Cenpa; Ube2c; Cdc20; Cenpf; Arl6ip1","H2ac8; H1f5; H1f4; Hist1h2ap; H1f3"
"K21","","CD8.P; CD4.P; Treg.P; CD8aa.P; Tz.P; DN.P; DP.wP","","Mcm3; Mcm6; Dut; Hells; Mcm5","CT010467.1; H2ac8; Malat1; H1f4; H1f5"
"K22","DN","CD8.wV; CD4.wZ; gdT.G; CD8aa.B; CD8aa.E; Tz.B; DN.B; DN.C; DN.D; DN.E; DN.F; DN.I; DN.wM; DP.wD; DP.wE","mammary gland","Klra7; Fcer1g; Ccl5; Cd7; Xcl1","CT010467.1; Cdk8; Tpt1; Cmss1; Actb"
"K23","","gdT.Q; gdT.R; gdT.T; gdT.X; Tz.D; DP.wF","skin","Actg1; Vim; Hspa8; Ubb; Hexb","Ccl5; Ms4a4b; AW112010; Ifi27l2a; H2-K1"
"K24","","","","Defa24; Defa30; Defa22; Defa21; Defa38",""
"K25","","CD8.J; CD8.K; CD4.R; CD4.U; Treg.F; Treg.P; gdT.Q; gdT.R; gdT.T; gdT.U; gdT.V; Tz.B; Tz.D; Tz.P","","Lgals1; S100a6; Vim; Crip1; S100a10","Malat1; Eef1a1; Tpt1"
"K26","","CD8.G; CD8.J; CD8.Q; CD8.R; CD8.wV; CD8.wY; CD4.Q; CD4.R; CD4.S; CD8aa.E; Tz.A; DP.wD","mammary gland; submandibular gland","Ccl5; Nkg7; S100a6; AW112010; Rgs1","Klf2"
"K27","","CD4.Y; Treg.B; Treg.C; Treg.D; Treg.E; Treg.F","","Tnfrsf4; Tnfrsf9; Ikzf2; Cd83; Hopx","Ms4a4b; Crip1; Tmsb4x; Thy1; S100a6"
"K28","","gdT.X","","CT010467.1; Cmss1; Cdk8; Tpt1; Eef1a1","S100a6; Gzmb; Ccl5; Nkg7; Ccl4"
"K29","CD8aa","CD8.T; gdT.A; gdT.F; gdT.I; gdT.J; CD8aa.A; CD8aa.P; CD8aa.wM; DN.B; DN.E; DN.G; DP.wY","colon epi; small intestine epi","Cd7; Ccl5; Fcer1g; AW112010; Ctsw","Klf2; Ms4a4b; Lef1; Ifi27l2a; Lat"
"K30","Tz","CD8.wY; CD4.T; gdT.G; gdT.H; gdT.S; gdT.X; CD8aa.E; Tz.A; Tz.B; Tz.C; Tz.D; Tz.P; Tz.wM; DN.D; DN.I; DN.J","mammary gland; submandibular gland","Ccl5; Ly6e; Il2rb; Ly6c2; AW112010","Klf2; Vim; Ccr7; Tcf7; Cytip"
"K31","","","","Gzmd; Gzmf; Gzme; Gzmg; Spp1","Tff1; Sostdc1"
"K32","","CD8.I; CD8.J; CD8.K; CD8.wY; CD4.R; CD4.Y; gdT.C","","Cdk8; Rack1; Eef2; Ly6c2; Eef1a1","Malat1; Fth1; Ptma; Ppia; Emp3"
"K33","","","","Hbb-bs; Hba-a2; Hba-a1; Hbb-bt",""
"K34","","DN.P","","","H2ac8; H1f5; H1f4; Hist1h2ap; H4c4"
"K35","","CD4.T; gdT.S; DN.E","colon LP; submandibular gland","Junb; Fos; Dusp1; Jun; Zfp36",""
"K36","","CD4.Y","","Il17a; Cxcl3; Il22; Ctla4; Hopx","S100a6; Crip1; Lmna; Vim; Lgals1"
"K37","","CD8.wV; CD4.wZ; CD8aa.E; DP.wD; DP.wE","mammary gland","Csn2; Csn1s2a; Gzma; Ccl5; Wap","Cdk8; Cmss1; Hexb; Camk1d; Il31ra"
"K38","","","","","Gzmk; Ccl5"
"K39","","","","Fabp2; Apoa1; Rbp2; Fabp1; Crip1","Junb"
"K40","","","","Apoe; Ftl1; C1qb; C1qa; Cd74","Cdk8"
